Reference, Value, Footprint, Datasheet
"U2","WeMosD1MiniPro","",""
"U1","MP2307_DC-DCconvertermodule","",""
"J1","Solar panel 0-25V","",""
"J2","Battery 12V","",""
"R4","1.2M","",""
"Q2","IRF4905","TO-220",""
"R3","82K","",""
"Q4","2N3904","",""
"C1","100nF","",""
"D1","TVS P6KE47CA","",""
"Q1","IRF4905","TO-220",""
"R1","1M","",""
"R5","10K","",""
"D2","1N5817","",""
"Q3","2N3904","",""
"R2","10K","",""
"D3","1N5817","",""
"U4","DS18B20","",""
"U3","DS18B20","",""
"J3","Conn_01x03_Female","",""
"J4","Conn_01x03_Male","",""
